68365,4,0.02,0.02,1.01,-0.04,-0.04,-0.04,20.94,-4816.00,
69155,404,0.01,0.02,1.01,0.08,0.08,0.08,20.94,-4800.00,
69161,4,0.01,0.03,1.00,0.05,0.05,0.05,20.94,-4832.00,
69165,4,0.01,0.03,1.00,0.10,0.10,0.10,20.94,-4816.00,
69169,80,0.01,0.03,1.00,0.13,0.13,0.13,20.94,-4816.00,
69174,49,0.01,0.03,1.01,-0.15,-0.15,-0.15,20.94,-4816.00,
69178,4,0.01,0.02,1.00,0.00,0.00,0.00,20.94,-4832.00,
69182,4,0.01,0.03,1.00,-0.01,-0.01,-0.01,20.94,-4864.00,
69187,114,0.02,0.03,1.00,0.04,0.04,0.04,20.94,-4784.00,
69192,5,0.01,0.02,0.99,-0.10,-0.10,-0.10,20.94,-4800.00,
69200,4,0.02,0.02,1.00,-0.05,-0.05,-0.05,20.94,-4832.00,
69204,223,0.01,0.03,1.00,-0.08,-0.08,-0.08,20.94,-4816.00,
69208,4,0.01,0.02,0.99,0.14,0.14,0.14,20.94,-4816.00,
69213,4,0.02,0.03,0.99,0.03,0.03,0.03,20.94,-4832.00,
69217,4,0.01,0.03,1.00,0.06,0.06,0.06,20.94,-4864.00,
69221,364,0.01,0.02,1.00,-0.13,-0.13,-0.13,20.94,-4848.00,
69226,4,0.02,0.02,1.00,-0.02,-0.02,-0.02,20.94,-4816.00,
69230,4,0.01,0.03,1.00,-0.05,-0.05,-0.05,20.94,-4832.00,
69238,470,0.02,0.03,1.00,-0.05,-0.05,-0.05,20.94,-4848.00,
69243,4,0.01,0.03,1.00,-0.03,-0.03,-0.03,20.94,-4832.00,
69247,4,0.01,0.02,1.00,-0.02,-0.02,-0.02,20.94,-4816.00,
69251,4,0.02,0.02,0.99,-0.03,-0.03,-0.03,20.94,-4848.00,
69256,494,0.02,0.02,1.00,0.08,0.08,0.08,20.94,-4800.00,
69260,4,0.02,0.02,0.99,0.08,0.08,0.08,20.94,-4832.00,
69264,4,0.01,0.02,0.99,-0.08,-0.08,-0.08,20.94,-4848.00,
69269,4,0.01,0.02,1.00,-0.15,-0.15,-0.15,20.94,-4848.00,
69273,420,0.02,0.02,0.99,0.08,0.08,0.08,20.94,-4832.00,
69281,4,0.01,0.03,0.99,-0.05,-0.05,-0.05,20.94,-4800.00,
69286,57,0.01,0.03,0.99,0.05,0.05,0.05,20.94,-4816.00,
69290,330,0.01,0.02,1.01,-0.13,-0.13,-0.13,20.94,-4832.00,
69294,4,0.02,0.02,1.00,-0.08,-0.08,-0.08,20.94,-4816.00,
69299,4,0.01,0.03,1.01,-0.05,-0.05,-0.05,20.94,-4832.00,
69303,220,0.02,0.03,1.00,0.05,0.05,0.05,20.94,-4816.00,
69307,46,0.02,0.02,1.00,-0.15,-0.15,-0.15,20.94,-4848.00,
69312,4,0.02,0.02,1.00,0.03,0.03,0.03,20.94,-4816.00,
69316,4,0.02,0.02,1.01,-0.09,-0.09,-0.09,20.94,-4832.00,
69324,4,0.01,0.02,1.00,0.05,0.05,0.05,20.94,-4832.00,
69328,4,0.01,0.02,1.00,0.11,0.11,0.11,20.94,-4848.00,
69333,4,0.01,0.03,1.00,0.11,0.11,0.11,20.94,-4784.00,
69337,494,0.01,0.02,1.00,-0.06,-0.06,-0.06,20.94,-4800.00,
69341,4,0.02,0.02,1.00,0.06,0.06,0.06,20.94,-4784.00,
69346,4,0.01,0.02,0.99,0.19,0.19,0.19,20.94,-4816.00,
69350,4,0.01,0.02,0.99,0.04,0.04,0.04,20.94,-4832.00,
69354,662,0.01,0.02,0.99,0.15,0.15,0.15,20.94,-4832.00,
69359,4,0.02,0.03,0.99,-0.05,-0.05,-0.05,20.94,-4816.00,
69367,4,0.01,0.02,0.99,-0.11,-0.11,-0.11,20.94,-4848.00,
69371,661,0.02,0.02,1.00,0.00,0.00,0.00,20.94,-4800.00,
69376,4,0.02,0.02,1.00,0.00,0.00,0.00,20.94,-4832.00,
69380,4,0.01,0.03,1.01,0.08,0.08,0.08,20.94,-4816.00,
69384,4,0.02,0.02,1.01,-0.11,-0.11,-0.11,20.94,-4848.00,
69388,643,0.01,0.02,1.01,0.06,0.06,0.06,20.94,-4832.00,
69393,4,0.02,0.03,1.01,0.04,0.04,0.04,20.94,-4800.00,
69397,4,0.02,0.02,1.00,0.18,0.18,0.18,20.94,-4816.00,
69402,4,0.02,0.03,1.01,0.14,0.14,0.14,20.94,-4816.00,
69410,4,0.02,0.02,1.00,0.08,0.08,0.08,20.94,-4816.00,
69414,4,0.01,0.02,0.99,0.07,0.07,0.07,20.94,-4816.00,
69418,86,0.01,0.02,0.99,0.15,0.15,0.15,20.94,-4832.00,
69423,588,0.01,0.03,0.99,0.03,0.03,0.03,20.94,-4816.00,
69427,4,0.01,0.03,1.01,0.05,0.05,0.05,20.94,-4816.00,
69431,4,0.01,0.02,1.00,0.03,0.03,0.03,20.94,-4800.00,
69436,302,0.01,0.02,1.01,0.05,0.05,0.05,20.94,-4832.00,
69440,434,0.01,0.03,1.00,0.16,0.16,0.16,20.94,-4816.00,
69444,4,0.01,0.02,1.01,0.09,0.09,0.09,20.94,-4832.00,
69449,4,0.01,0.03,0.99,0.18,0.18,0.18,20.94,-4832.00,
69457,478,0.01,0.02,1.01,0.06,0.06,0.06,20.94,-4848.00,
69461,4,0.01,0.03,1.01,-0.02,-0.02,-0.02,20.94,-4832.00,
69466,4,0.02,0.02,1.00,0.02,0.02,0.02,20.94,-4800.00,
69470,724,0.01,0.03,0.99,-0.05,-0.05,-0.05,20.94,-4784.00,
69474,243,0.01,0.02,1.00,0.18,0.18,0.18,20.94,-4848.00,
69479,4,0.01,0.02,0.99,-0.05,-0.05,-0.05,20.94,-4832.00,
69483,4,0.02,0.03,1.00,-0.05,-0.05,-0.05,20.94,-4800.00,
69488,940,0.01,0.02,1.00,-0.15,-0.15,-0.15,20.94,-4832.00,
69492,4,0.01,0.02,0.99,-0.10,-0.10,-0.10,20.94,-4816.00,
69500,4,0.01,0.02,1.01,-0.11,-0.11,-0.11,20.94,-4816.00,
69505,1024,0.01,0.03,1.00,-0.08,-0.08,-0.08,20.94,-4800.00,
69509,4,0.01,0.02,1.00,0.07,0.07,0.07,20.94,-4816.00,
69513,4,0.01,0.02,1.01,0.13,0.13,0.13,20.94,-4816.00,
